NormalisedSpecificDisease,PhenotypicSeriesNumber,PhenotypicSeriesName,Phenotype,PhenotypeMIM,GeneSymbol,GeneMIM,Check_RTL,Comments_RTL,Check_DC,Comments_DC
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma","Microphthalmia, isolated, with coloboma 7",614497,ABCB6,605452,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma","?Microphthalmia, isolated, with coloboma 9",615145,TENM3,610083,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma","Microphthalmia, syndromic 15",615145,TENM3,610083,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma",Microphthalmia with coloboma 5,611638,SHH,600725,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma","Microphthalmia with coloboma 6, digenic",613703,GDF6,601147,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma","Microphthalmia, isolated, with coloboma 10",616428,RBP4,180250,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma",Microphthalmia with coloboma 6,613703,GDF3,606522,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma",Microphthalmia with coloboma 3,610092,VSX2,142993,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma",Microphthalmia with coloboma 2,605738,NA,605738,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma","Microphthalmia, syndromic 9",601186,STRA6,610745,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma","Microphthalmia, isolated, with coloboma 8",601186,STRA6,610745,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma",Microphthalmia with coloboma 1,300345,NA,300345,1,NA,NA,NA
Anophthalmia or microphthalmia,PS300345,"Microphthalmia, isolated, with coloboma","Microphthalmia, isolated, with coloboma 4",251505,NA,251505,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 12",615524,RARB,180220,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic",Optic nerve hypoplasia and abnormalities of the central nervous system,206900,SOX2,184429,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 3",206900,SOX2,184429,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic",Microphthalmia/coloboma and skeletal dysplasia syndrome,615877,MAB21L2,604357,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 15",615145,TENM3,610083,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","?Microphthalmia, isolated, with coloboma 9",615145,TENM3,610083,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 8",601349,NA,601349,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","?Microphthalmia, syndromic 11",614402,VAX1,604294,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 6",607932,BMP4,112262,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 5",610125,OTX2,600037,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Retinal dystrophy, early-onset, with or without pituitary dysfunction",610125,OTX2,600037,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 9",601186,STRA6,610745,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, isolated, with coloboma 8",601186,STRA6,610745,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic",Linear skin defects with multiple congenital anomalies 1,309801,HCCS,300056,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 2",300166,BCOR,300485,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","?Microphthalmia, syndromic 13",300915,HMGB3,300193,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 1",309800,NAA10,300013,1,NA,NA,NA
Anophthalmia or microphthalmia,PS309800,"Microphthalmia, syndromic","Microphthalmia, syndromic 10",611222,NA,611222,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 10",187370,NA,187370,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 5D",615065,ECEL1,605896,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Contractural arachnodactyly, congenital",121050,FBN2,612570,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 1A",108120,TPM2,190990,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 2B4",108120,TPM2,190990,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 2B1",601680,TNNI2,191043,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 2B2",618435,TNNT3,600692,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 1B",614335,MYBPC1,160794,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal",Trismus-pseudocamptodactyly syndrome,158300,MYH8,160741,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 2B3 (Sheldon-Hall)",618436,MYH3,160720,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 2A (Freeman-Sheldon)",193700,MYH3,160720,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 3",114300,PIEZO2,613629,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 5",108145,PIEZO2,613629,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 6",108200,NA,108200,1,NA,NA,NA
Arthrogryposis,PS108120,"Arthrogryposis, distal","Arthrogryposis, distal, type 4",609128,NA,609128,1,NA,NA,NA
Arthrogryposis,PS208085,"Arthrogryposis, renal dysfunction, and cholestasis","Arthrogryposis, renal dysfunction, and cholestasis 2",613404,VIPAS39,613401,1,NA,NA,NA
Arthrogryposis,PS208085,"Arthrogryposis, renal dysfunction, and cholestasis","Arthrogryposis, renal dysfunction, and cholestasis 1",208085,VPS33B,608552,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to, 1}",235400,CFH,134370,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to}",235400,CFHR3,605336,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to}",235400,CFHR1,134371,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to, 2}",612922,CD46,120920,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to, 3}",612923,CFI,217030,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to, 4}",612924,CFB,138470,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"Nephrotic syndrome, type 7",615008,DGKE,601440,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to, 7}",615008,DGKE,601440,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to, 5}",612925,C3,120700,1,NA,NA,NA
Atypical haemolytic uraemic syndrome,PS235400,Hemolytic uremic syndrome,"{Hemolytic uremic syndrome, atypical, susceptibility to, 6}",612926,THBD,188040,1,NA,NA,NA
Auditory Neuropathy Spectrum Disorder,PS609129,Auditory neuropathy,"Deafness, autosomal recessive 9",601071,OTOF,603681,1,NA,NA,NA
Auditory Neuropathy Spectrum Disorder,PS609129,Auditory neuropathy,"Auditory neuropathy, autosomal recessive, 1",601071,OTOF,603681,1,NA,NA,NA
Auditory Neuropathy Spectrum Disorder,PS609129,Auditory neuropathy,"Auditory neuropathy, autosomal dominant, 1",609129,DIAPH3,614567,1,NA,NA,NA
Auditory Neuropathy Spectrum Disorder,PS609129,Auditory neuropathy,"Deafness, X-linked 5",300614,AIFM1,300169,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 2B",612644,GJB3,603324,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 2A",600101,KCNQ4,603537,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 37",618533,COL11A1,120280,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 49",608372,NA,608372,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 7",601412,LMX1A,600298,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 34, with or without inflammation",617772,NLRP3,606416,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 58",615654,NA,615654,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 43",608394,NA,608394,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 16",603964,NA,603964,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 70",616968,MCM2,116945,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 18",606012,NA,606012,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 76",618787,PLS1,602734,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 44",607453,CCDC50,611051,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 6/14/38",600965,WFS1,606201,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 27",612431,REST,600571,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 24",606282,NA,606282,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 52",607683,NA,607683,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 54",615649,NA,615649,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 1, with or without thrombocytopenia",124900,DIAPH1,602121,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 15",602459,POU4F3,602460,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 21",607017,NA,607017,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 31",608645,NA,608645,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 72",617606,SLC44A4,606107,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 13",601868,COL11A2,120290,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 22, with hypertrophic cardiomyopathy",606346,MYO6,600970,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 22",606346,MYO6,600970,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 66",616969,CD164,603356,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 10",601316,EYA4,603550,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 5",600994,GSDME,608798,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 74",618140,PDE1C,602987,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 75",618778,TRRAP,603015,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 50",613074,MIR96,611606,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 28",608641,GRHL2,608576,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 47",608652,NA,608652,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 51",613558,NA,613558,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 36",606705,TMC1,606706,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 56",615629,TNC,187380,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 59",612642,NA,612642,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 11",601317,MYO7A,276903,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 8/12",601543,TECTA,602574,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 48",607841,NA,607841,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 73",617663,PTPRQ,603317,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 69, unilateral or asymmetric",616697,KITLG,184745,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 25",605583,SLC17A8,607557,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 64",614152,DIABLO,605219,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 41",608224,P2RX2,600844,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 3A",601544,GJB2,121011,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 3B",612643,GJB6,604418,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 33",614211,NA,614211,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 53",609965,NA,609965,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 9",601369,COCH,603196,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 23",605192,SIX1,601205,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 71",617605,DMXL2,612186,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 30",606451,NA,606451,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 68",616707,HOMER2,604799,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 65",616044,TBC1D24,613577,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","?Deafness, autosomal dominant 77",618915,ABCC1,158343,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 40",616357,CRYM,123740,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 20/26",604717,ACTG1,102560,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 4B",614614,CEACAM16,614591,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 4A",600652,MYH14,608568,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 67",616340,OSBPL2,606731,1,NA,NA,NA
Autosomal dominant deafness,PS124900,"Deafness, autosomal dominant","Deafness, autosomal dominant 17",603622,MYH9,160775,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 4B (harlequin)",242500,ABCA12,607800,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 4A",601277,ABCA12,607800,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 6",612281,NIPAL4,609383,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 10",615024,PNPLA1,612121,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 8",613943,LIPN,613924,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 11",602400,ST14,606797,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 7",615022,NA,615022,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 13",617574,SDR9C7,609769,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 1",242300,TGM1,190195,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 9",615023,CERS3,615276,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 2",242100,ALOX12B,603741,1,NA,NA,NA
